Parent Region,District,2001_Grasslands,2001_Croplands,2001_Urban and Built-up Lands,2001_Barren,2001_Your Landcover Name for 17,2001_Evergreen Broadleaf Forests,2001_Deciduous Broadleaf Forests,2001_Woody Savannas,2001_Savannas,2005_Grasslands,2005_Croplands,2005_Urban and Built-up Lands,2005_Barren,2005_Your Landcover Name for 17,2005_Evergreen Broadleaf Forests,2005_Deciduous Broadleaf Forests,2005_Mixed Forests,2005_Woody Savannas,2005_Savannas,2010_Grasslands,2010_Croplands,2010_Urban and Built-up Lands,2010_Barren,2010_Your Landcover Name for 17,2010_Evergreen Broadleaf Forests,2010_Deciduous Broadleaf Forests,2010_Mixed Forests,2010_Woody Savannas,2010_Savannas,2015_Grasslands,2015_Croplands,2015_Urban and Built-up Lands,2015_Cropland/Natural Vegetation Mosaics,2015_Barren,2015_Your Landcover Name for 17,2015_Evergreen Broadleaf Forests,2015_Deciduous Broadleaf Forests,2015_Mixed Forests,2015_Woody Savannas,2015_Savannas,2020_Grasslands,2020_Croplands,2020_Urban and Built-up Lands,2020_Cropland/Natural Vegetation Mosaics,2020_Barren,2020_Your Landcover Name for 17,2020_Evergreen Broadleaf Forests,2020_Deciduous Broadleaf Forests,2020_Mixed Forests,2020_Woody Savannas,2020_Savannas,2001_Grasslands_Weighted,2001_Croplands_Weighted,2001_Urban and Built-up Lands_Weighted,2001_Barren_Weighted,2001_Your Landcover Name for 17_Weighted,2001_Evergreen Broadleaf Forests_Weighted,2001_Deciduous Broadleaf Forests_Weighted,2001_Woody Savannas_Weighted,2001_Savannas_Weighted,ESS2001,ESS2001_Normalized,ESS2001NORM,2005_Grasslands_Weighted,2005_Croplands_Weighted,2005_Urban and Built-up Lands_Weighted,2005_Barren_Weighted,2005_Your Landcover Name for 17_Weighted,2005_Evergreen Broadleaf Forests_Weighted,2005_Deciduous Broadleaf Forests_Weighted,2005_Woody Savannas_Weighted,2005_Savannas_Weighted,2005_Mixed Forests_Weighted,ESS2005,ESS2005_Normalized,2010_Grasslands_Weighted,2010_Croplands_Weighted,2010_Urban and Built-up Lands_Weighted,2010_Barren_Weighted,2010_Your Landcover Name for 17_Weighted,2010_Evergreen Broadleaf Forests_Weighted,2010_Deciduous Broadleaf Forests_Weighted,2010_Woody Savannas_Weighted,2010_Savannas_Weighted,2010_Mixed Forests_Weighted,ESS2010,ESS2010_Normalized,2015_Grasslands_Weighted,2015_Croplands_Weighted,2015_Urban and Built-up Lands_Weighted,2015_Barren_Weighted,2015_Your Landcover Name for 17_Weighted,2015_Evergreen Broadleaf Forests_Weighted,2015_Deciduous Broadleaf Forests_Weighted,2015_Woody Savannas_Weighted,2015_Savannas_Weighted,2015_Mixed Forests_Weighted,2015_Cropland/Natural Vegetation Mosaics_Weighted,ESS2015,ESS2015_Normalized,2020_Grasslands_Weighted,2020_Croplands_Weighted,2020_Urban and Built-up Lands_Weighted,2020_Barren_Weighted,2020_Your Landcover Name for 17_Weighted,2020_Evergreen Broadleaf Forests_Weighted,2020_Deciduous Broadleaf Forests_Weighted,2020_Woody Savannas_Weighted,2020_Savannas_Weighted,2020_Mixed Forests_Weighted,2020_Cropland/Natural Vegetation Mosaics_Weighted,ESS2020,ESS2020_Normalized
Cordillera Administrative region (CAR),Abra,269.1627451,118.5598039,11.75,1.5,1.75,1579.585294,7.989215686,1348.716667,595.6892157,242.1127451,131.0745098,11.75,1.75,1.75,1596.068627,17.72058824,0.5,1376.583333,555.3931373,222.8156863,104.8245098,11.75,1.75,1.75,1641.189216,49.31960784,0.5,1346.660784,554.1431373,191.4235294,128.8245098,11.75,0.25,1.25,1.75,1683.84902,85.01568627,1,1234.238235,595.3519608,153.2147059,148.0745098,11.75,1.25,1.25,1.75,1786.77549,65.44117647,0.024509804,1223.208824,541.9637255,11574.0,1897.0,82.3,20.6,75.3,67922.2,343.5,57994.8,25614.6,165524.2,0.5,-0.5,10410.8,2097.2,82.3,24.1,75.3,68631.0,762.0,59193.1,23881.9,21.5,165179.0,0.5,9581.1,1677.2,82.3,24.1,75.3,70571.1,2120.7,57906.4,23828.2,21.5,165887.8,0.5,8231.2,2061.2,82.3,17.2,75.3,72405.5,3655.7,53072.2,25600.1,43.0,4.0,165247.7,0.4,6588.2,2369.2,82.3,17.2,75.3,76831.3,2814.0,52598.0,23304.4,1.1,20.0,164700.9,0.5
Cordillera Administrative region (CAR),Apayao,98.12941176,82.05588235,1,,,3341.451961,,299.7470588,98.90294118,104.5901961,78.06960784,1,,,3250.866667,,,382.6392157,100.1235294,98.65686275,69.18137255,1,,,3170.362745,,,437.4196078,136.1627451,78.15294118,79.75490196,1,15.56764706,,,3118.619608,,,490.6460784,151.3294118,97.13529412,96.51666667,1,9.132352941,,,3054.758824,,,521.5852941,154.9421569,4219.6,1312.9,7.0,,,143682.4,,12889.1,4252.8,166363.8,0.5,-0.5,4497.4,1249.1,7.0,,,139787.3,,16453.5,4305.3,,166299.6,0.5,4242.2,1106.9,7.0,,,136325.6,,18809.0,5855.0,,166345.8,0.5,3360.6,1276.1,7.0,,,134100.6,,21097.8,6507.2,,249.1,166598.3,0.4,4176.8,1544.3,7.0,,,131354.6,,22428.2,6662.5,,146.1,166319.5,0.5
Cordillera Administrative region (CAR),Benguet,34.70098039,,39.5,,,719.9656863,,1227.391176,525.8911765,24.2372549,,39.5,,,746.9176471,,,1225.569608,510.7245098,21.9872549,,39.5,,,793.1715686,,,1188.85,503.9401961,24.4872549,,39.5,,,,844.8352941,,0.25,1115.288235,523.3372549,29.92156863,0.75,39.5,,,,926.0284314,,,1104.39902,447.6,1492.1,,276.5,,,30958.5,,52777.8,22613.3,108118.3,0.3,-0.7,1042.2,,276.5,,,32117.5,,52699.5,21961.2,,108096.8,0.3,945.5,,276.5,,,34106.4,,51120.6,21669.4,,108118.3,0.3,1053.0,,276.5,,,36327.9,,47957.4,22503.5,10.8,,108129.0,0.3,1286.6,12.0,276.5,,,39819.2,,47489.2,19246.8,,,108130.3,0.3
Cordillera Administrative region (CAR),Ifugao,29.35294118,36.50392157,,,5.446078431,1023.079412,,357.2764706,1226.39902,46.25980392,40.78529412,,,5.196078431,973.7980392,,,407.2519608,1216.140196,66.53235294,34.28235294,,,5.446078431,961.2539216,,,401.8323529,1208.676471,95.05294118,31.08627451,,43.90490196,,4.695098039,962.9754902,,,428.7892157,1132.256863,59.86078431,41.87254902,,49.1627451,,5.446078431,1010.295098,,,450.7421569,1081.151961,1262.2,584.1,,,234.2,43992.4,,15362.9,52735.2,114170.9,0.3,-0.7,1989.2,652.6,,,223.4,41873.3,,17511.8,52294.0,,114544.3,0.3,2860.9,548.5,,,234.2,41333.9,,17278.8,51973.1,,114229.4,0.3,4087.3,497.4,,,201.9,41407.9,,18437.9,48687.0,,702.5,114022.0,0.3,2574.0,670.0,,,234.2,43442.7,,19381.9,46489.5,,786.6,113578.9,0.3
Cordillera Administrative region (CAR),Kalinga,117.8029412,32.66176471,2.75,,,1720.217647,,194.9186275,867.2186275,163.7,41.6127451,2.75,,,1666.832353,,,263.9098039,801.3156863,195.9127451,44.09019608,2.75,,,1570.106863,,,361.7607843,755.5098039,182.6637255,79.02843137,2.75,58.22254902,,,1512.001961,,,423.5352941,713.5980392,141.7833333,118.3813725,2.75,63.50392157,,,1517.411765,,,413.7735294,714.1960784,5065.5,522.6,19.3,,,73969.4,,8381.5,37290.4,125248.6,0.3,-0.7,7039.1,665.8,19.3,,,71673.8,,11348.1,34456.6,,125202.6,0.3,8424.2,705.4,19.3,,,67514.6,,15555.7,32486.9,,124706.2,0.3,7854.5,1264.5,19.3,,,65016.1,,18212.0,30684.7,,931.6,123982.6,0.3,6096.7,1894.1,19.3,,,65248.7,,17792.3,30710.4,,1016.1,122777.5,0.3
Cordillera Administrative region (CAR),Mountain Province,24.43627451,12.61372549,1.647058824,,,1135.926471,,360.2539216,428.9215686,19.5627451,18.98627451,1.647058824,,,1111.568627,,,387.1392157,429.3313725,15.90784314,16.58137255,1.647058824,,,1113.179412,,,390.6735294,425.2019608,19.94509804,17.30980392,1.647058824,72.08333333,,,1101.635294,,,387.3421569,413.1941176,13.99901961,26.30294118,1.647058824,78.42058824,,,1157.45,,0.105882353,379.4794118,355.7519608,1050.8,201.8,11.5,,,48844.8,,15490.9,18443.6,84043.5,0.2,-0.8,841.2,303.8,11.5,,,47797.5,,16647.0,18461.2,,84062.2,0.2,684.0,265.3,11.5,,,47866.7,,16799.0,18283.7,,83910.2,0.2,857.6,277.0,11.5,,,47370.3,,16655.7,17767.3,,1153.3,84092.8,0.2,602.0,420.8,11.5,,,49770.4,,16317.6,15297.3,4.6,1254.7,83678.9,0.2
National Capital region (NCR),Metropolitan Manila,8.079411765,13.66862745,533.8715686,0.802941176,121.9588235,16.23823529,,6.314705882,10.40196078,8.429411765,12.49901961,534.1941176,0.802941176,121.9588235,16.48823529,,,6.011764706,10.83137255,9.670588235,8.479411765,534.9166667,0.580392157,121.9588235,16.53235294,,,5.778431373,13.11862745,8.48627451,8.620588235,535.1931373,2.119607843,0.580392157,121.9588235,16.53235294,,,6.174509804,13.66176471,8.294117647,6.814705882,537.0696078,2.208823529,0.330392157,121.9588235,17.66568627,,,5.518627451,14.21666667,347.4,218.7,3737.1,11.0,5244.2,698.2,,271.5,447.3,10975.5,0.0,-1.0,362.5,200.0,3739.4,11.0,5244.2,709.0,,258.5,465.7,,10990.3,0.0,415.8,135.7,3744.4,8.0,5244.2,710.9,,248.5,564.1,,11071.6,0.0,364.9,137.9,3746.4,8.0,5244.2,710.9,,265.5,587.5,,33.9,11099.2,0.0,356.6,109.0,3759.5,4.5,5244.2,759.6,,237.3,611.3,,35.3,11117.5,0.0
Region I (Ilocos region),Ilocos Norte,293.795098,512.3382353,41.74019608,2.662745098,16.03921569,1145.648039,18.00098039,654.0647059,757.5852941,253.3598039,532.3431373,41.74019608,2.801960784,16.03921569,1141.155882,35.44509804,5.624509804,732.8715686,682.7754902,271.4764706,481.4372549,41.74019608,3.06372549,16.03921569,1152.509804,30.94509804,2.374509804,769.8970588,675.2470588,261.8754902,504.8245098,41.74019608,0.25,1.892156863,16.03921569,1144.910784,43.19509804,2.624509804,746.3598039,681.4039216,183.6529412,436.1872549,41.74019608,3,1.249019608,16.03921569,1250.889216,29.81960784,0.25,812.8362745,668.4745098,12633.2,8197.4,292.2,36.6,689.7,49262.9,774.0,28124.8,32576.2,132586.9,0.4,-0.7,10894.5,8517.5,292.2,38.5,689.7,49069.7,1524.1,31513.5,29359.3,241.9,132140.9,0.4,11673.5,7703.0,292.2,42.1,689.7,49557.9,1330.6,33105.6,29035.6,102.1,133532.3,0.4,11260.6,8077.2,292.2,26.0,689.7,49231.2,1857.4,32093.5,29300.4,112.9,4.0,132945.0,0.4,7897.1,6979.0,292.2,17.2,689.7,53788.2,1282.2,34952.0,28744.4,10.8,48.0,134700.7,0.4
Region I (Ilocos region),Ilocos Sur,232.0823529,429.2568627,21.56862745,2.446078431,29.9745098,506.0705882,15.06666667,961.9666667,351.3686275,185.6401961,419.0539216,21.56862745,2.196078431,29.9745098,518.2117647,24.80490196,0.374509804,988.1784314,360.3686275,201.8333333,365.6960784,21.56862745,1.696078431,29.9745098,492.7509804,18.70392157,0.374509804,1041.118627,375.0009804,200.5460784,391.4127451,21.56862745,0.25,0.946078431,29.9745098,514.0362745,28.49215686,1.624509804,984.7215686,373.6480392,125.1794118,356.7833333,21.56862745,17.5,0.946078431,29.9745098,565.4509804,28.43627451,2.367647059,994.5098039,404.4539216,9979.5,6868.1,151.0,33.6,1288.9,21761.0,647.9,41364.6,15108.9,97203.5,0.3,-0.8,7982.5,6704.9,151.0,30.2,1288.9,22283.1,1066.6,42491.7,15495.9,16.1,97510.8,0.3,8678.8,5851.1,151.0,23.3,1288.9,21188.3,804.3,44768.1,16125.0,16.1,98895.0,0.3,8623.5,6262.6,151.0,13.0,1288.9,22103.6,1225.2,42343.0,16066.9,69.9,4.0,98151.4,0.3,5382.7,5708.5,151.0,13.0,1288.9,24314.4,1222.8,42763.9,17391.5,101.8,280.0,98618.5,0.3
Region I (Ilocos region),La Union,174.1372549,217.922549,32.75686275,0.611764706,18.72647059,106.3098039,0.5,633.7313725,255.1705882,156.5480392,183.9460784,32.75686275,0.861764706,18.72647059,109.5843137,0.25,,671.6519608,265.6490196,187.85,165.8539216,32.75686275,,18.72647059,93.36470588,,,701.854902,239.65,164.8127451,182.472549,32.75686275,0.25,,18.72647059,116.8970588,,,684.2343137,240.6901961,84.91568627,176.7411765,32.75686275,1.75,,18.72647059,148.7019608,,,738.8382353,238.7039216,7487.9,3486.8,229.3,8.4,805.2,4571.3,21.5,27250.4,10972.3,54833.2,0.1,-0.9,6731.6,2943.1,229.3,11.8,805.2,4712.1,10.8,28881.0,11422.9,,55747.9,0.1,8077.6,2653.7,229.3,,805.2,4014.7,,30179.8,10305.0,,56265.1,0.1,7086.9,2919.6,229.3,,805.2,5026.6,,29422.1,10349.7,,4.0,55843.4,0.1,3651.4,2827.9,229.3,,805.2,6394.2,,31770.0,10264.3,,28.0,55970.3,0.1
